500
6	18	17
15	1	19
18	17	13
9	18	5
11	9	9
8	4	20
6	15	7
9	15	3
3	13	10
2	1	20
2	1	14
19	3	12
3	17	8
13	6	7
2	3	10
9	1	12
11	3	16
10	18	19
12	17	19
7	18	4
1	2	16
16	19	5
12	3	18
11	7	2
1	13	11
2	3	14
20	12	12
10	19	17
5	20	10
15	18	17
11	16	19
10	20	18
18	15	17
18	13	12
6	16	7
12	7	16
13	7	19
10	3	19
17	13	19
12	7	1
6	6	17
15	15	17
16	9	5
13	17	12
5	2	13
9	17	14
17	1	9
7	12	5
9	11	11
3	20	8
8	2	17
4	1	17
5	19	7
3	17	10
1	16	5
15	20	14
5	12	14
1	2	10
16	19	16
5	8	8
12	3	18
1	15	14
5	5	16
11	16	1
20	4	3
17	2	12
13	13	4
2	11	12
13	4	17
20	15	3
8	11	18
8	9	5
18	18	7
5	7	9
9	9	13
18	13	10
8	11	14
13	4	11
12	4	2
9	7	20
17	14	1
14	7	17
15	19	4
12	11	8
11	13	6
18	4	7
11	11	1
2	7	18
20	14	17
14	9	10
9	3	6
15	5	9
10	6	15
10	1	5
6	6	12
13	12	1
16	3	4
8	20	9
16	18	3
10	20	11
3	10	17
12	18	11
5	5	11
16	7	14
17	4	11
9	12	8
20	13	7
18	14	19
13	15	1
3	8	15
9	7	15
2	9	11
19	10	18
7	18	14
9	2	4
11	10	11
9	18	6
13	18	17
3	5	14
9	17	12
15	3	4
6	16	20
13	9	6
6	20	9
1	19	13
1	9	8
9	20	7
7	1	2
6	16	2
8	6	20
16	1	3
14	2	15
1	11	15
15	18	8
5	4	10
